issue_id,principle,status,detection_label,file_path,entity,model,patch_blocks,tests_total,tests_passed,tests_failed,tests_skipped,tests_duration_ms,avg_cc_before,avg_cc_after,mi_before,mi_after,head_commit
OCP-020,OCP,llm_error,,core/src/main/java/com/alibaba/fastjson2/util/DateUtils.java,DateUtils.parseLocalDateTime,,0,0,0,0,0,0.0,19.83,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-001,SRP,applied_unverified,,core/src/main/java/com/alibaba/fastjson2/util/DateUtils.java,DateUtils,gemini-3-flash-preview,8,0,0,0,0,0.0,20.09,14.12,0.0,0.0,9c66054e6ffc3393b351b44a6b69bc155a6d5309
SRP-002,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/JSONReaderUTF8.java,JSONReaderUTF8,,0,0,0,0,0,0.0,13.67,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-006,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/JSONReaderUTF16.java,JSONReaderUTF16,,0,0,0,0,0,0.0,14.19,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-010,SRP,applied_unverified,,core/src/main/java/com/alibaba/fastjson2/JSONReader.java,JSONReader,gemini-3-flash-preview,16,0,0,0,0,0.0,6.62,5.52,0.0,0.0,202f1c9f183f708d880679950c8597c2651df19b
SRP-011,SRP,applied_unverified,,core/src/main/java/com/alibaba/fastjson2/JSONWriter.java,JSONWriter,gemini-3-flash-preview,8,0,0,0,0,0.0,4.91,4.53,0.0,0.0,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-012,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/util/TypeUtils.java,TypeUtils,,0,0,0,0,0,0.0,14.37,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-013,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/util/IOUtils.java,IOUtils,,0,0,0,0,0,0.0,4.04,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-015,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/writer/ObjectWriterCreatorASM.java,ObjectWriterCreatorASM,,0,0,0,0,0,0.0,13.05,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-016,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/reader/ObjectReaderCreatorASM.java,ObjectReaderCreatorASM,,0,0,0,0,0,0.0,17.42,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-017,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/introspect/PropertyAccessorFactory.java,PropertyAccessorFactory,,0,0,0,0,0,0.0,1.8,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
SRP-019,SRP,obsolete,,core/src/main/java/com/alibaba/fastjson2/JSONB.java,JSONB,,0,0,0,0,0,0.0,,,,,134bc861315eba6327bdb66eb7ff952af53eb72a
SRP-020,SRP,llm_error,,core/src/main/java/com/alibaba/fastjson2/JSONReaderJSONB.java,JSONReaderJSONB,,0,0,0,0,0,0.0,8.58,,0.0,,60aeb365af95b878aed3472b1479cb08ab5e38e5
